Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Initial Temp,Decay
5,128,SA,4878.4,4215000.0,100000.0,0.9999
5,128,SA,4885.8,4394960.0,100000.0,0.99999
5,256,SA,4933.4,8645220.0,0.1,0.9
5,256,SA,4930.0,8762920.0,0.1,0.99
5,256,SA,4930.4,8735340.0,0.1,0.999
5,256,SA,4931.4,8573560.0,0.1,0.9999
5,256,SA,4932.4,8850040.0,0.1,0.99999
5,256,SA,4933.0,1.07864E7,1.0,0.9
5,256,SA,4930.0,1.091282E7,1.0,0.99
5,256,SA,4919.4,8713480.0,1.0,0.999
5,256,SA,4916.6,8588660.0,1.0,0.9999
5,256,SA,4916.6,8455360.0,1.0,0.99999
5,256,SA,4932.8,8560100.0,10.0,0.9
5,256,SA,4918.6,8387320.0,10.0,0.99
5,256,SA,4898.6,8553820.0,10.0,0.999
5,256,SA,4887.6,8451740.0,10.0,0.9999
5,256,SA,4889.4,8513600.0,10.0,0.99999
5,256,SA,4930.2,8339160.0,100.0,0.9
5,256,SA,4887.6,8367080.0,100.0,0.99
5,256,SA,4887.6,8469440.0,100.0,0.999
5,256,SA,4887.0,8438280.0,100.0,0.9999
5,256,SA,4889.8,8658540.0,100.0,0.99999
5,256,SA,4927.0,8564840.0,1000.0,0.9
5,256,SA,4889.2,8542140.0,1000.0,0.99
5,256,SA,4884.0,8433800.0,1000.0,0.999
5,256,SA,4891.8,8640700.0,1000.0,0.9999
5,256,SA,4885.2,8707300.0,1000.0,0.99999
5,256,SA,4928.6,8453200.0,10000.0,0.9
5,256,SA,4886.4,8737740.0,10000.0,0.99
5,256,SA,4875.6,8380440.0,10000.0,0.999
5,256,SA,4888.8,8553700.0,10000.0,0.9999
5,256,SA,4880.4,8485340.0,10000.0,0.99999
5,256,SA,4927.8,8366560.0,100000.0,0.9
5,256,SA,4890.0,8378400.0,100000.0,0.99
5,256,SA,4880.6,8854320.0,100000.0,0.999
5,256,SA,4881.2,8470960.0,100000.0,0.9999
5,256,SA,4878.6,8491660.0,100000.0,0.99999
5,512,SA,4938.8,1.738016E7,0.1,0.9
5,512,SA,4939.6,1.964428E7,0.1,0.99
5,512,SA,4937.2,1.852716E7,0.1,0.999
5,512,SA,4938.0,1.816424E7,0.1,0.9999
5,512,SA,4940.4,3.730198E7,0.1,0.99999
5,512,SA,4939.2,2.51566E7,1.0,0.9
5,512,SA,4936.4,1.763966E7,1.0,0.99
5,512,SA,4928.6,2.450572E7,1.0,0.999
5,512,SA,4917.4,2.073012E7,1.0,0.9999
5,512,SA,4917.0,1.69787E7,1.0,0.99999
5,512,SA,4937.4,1.654824E7,10.0,0.9
5,512,SA,4931.0,1.670204E7,10.0,0.99
5,512,SA,4890.6,1.702014E7,10.0,0.999
5,512,SA,4888.4,1.749192E7,10.0,0.9999
5,512,SA,4886.0,1.695708E7,10.0,0.99999
5,512,SA,4936.4,1.672346E7,100.0,0.9
5,512,SA,4917.6,1.741442E7,100.0,0.99
5,512,SA,4885.0,1.678652E7,100.0,0.999
5,512,SA,4886.2,1.67738E7,100.0,0.9999
5,512,SA,4880.0,1.693492E7,100.0,0.99999
5,512,SA,4936.0,1.66732E7,1000.0,0.9
5,512,SA,4892.6,1.678786E7,1000.0,0.99
5,512,SA,4887.6,1.67033E7,1000.0,0.999
5,512,SA,4884.4,1.698392E7,1000.0,0.9999
5,512,SA,4884.0,1.68339E7,1000.0,0.99999
5,512,SA,4937.4,1.684678E7,10000.0,0.9
5,512,SA,4874.6,1.773812E7,10000.0,0.99
5,512,SA,4886.8,1.777698E7,10000.0,0.999
5,512,SA,4883.4,1.952282E7,10000.0,0.9999
5,512,SA,4878.0,4.365308E7,10000.0,0.99999
5,512,SA,4937.8,3.267978E7,100000.0,0.9
5,512,SA,4884.4,1.976274E7,100000.0,0.99
5,512,SA,4876.2,1.811044E7,100000.0,0.999
5,512,SA,4888.2,1.709646E7,100000.0,0.9999
5,512,SA,4885.0,1.728168E7,100000.0,0.99999
5,1024,SA,4944.4,3.336822E7,0.1,0.9
5,1024,SA,4942.6,3.287752E7,0.1,0.99
5,1024,SA,4941.4,3.295972E7,0.1,0.999
5,1024,SA,4942.0,3.285986E7,0.1,0.9999
5,1024,SA,4942.8,3.327518E7,0.1,0.99999
5,1024,SA,4942.6,3.322636E7,1.0,0.9
5,1024,SA,4942.0,3.321516E7,1.0,0.99
5,1024,SA,4933.4,3.284134E7,1.0,0.999
5,1024,SA,4920.2,3.323728E7,1.0,0.9999
5,1024,SA,4916.2,3.306404E7,1.0,0.99999
5,1024,SA,4942.4,3.379272E7,10.0,0.9
5,1024,SA,4941.4,3.404308E7,10.0,0.99
5,1024,SA,4896.2,3.39739E7,10.0,0.999
5,1024,SA,4886.0,3.335296E7,10.0,0.9999
5,1024,SA,4887.0,3.321606E7,10.0,0.99999
5,1024,SA,4942.6,3.339804E7,100.0,0.9
5,1024,SA,4939.2,3.370542E7,100.0,0.99
5,1024,SA,4888.4,3.370466E7,100.0,0.999
5,1024,SA,4878.4,3.398518E7,100.0,0.9999
5,1024,SA,4881.2,3.33582E7,100.0,0.99999
5,1024,SA,4943.4,3.34229E7,1000.0,0.9
5,1024,SA,4936.0,3.3951E7,1000.0,0.99
5,1024,SA,4885.2,3.344472E7,1000.0,0.999
5,1024,SA,4881.4,3.322032E7,1000.0,0.9999
5,1024,SA,4880.0,3.3376E7,1000.0,0.99999
5,1024,SA,4943.8,3.31627E7,10000.0,0.9
5,1024,SA,4924.2,3.3416E7,10000.0,0.99
5,1024,SA,4883.8,3.326248E7,10000.0,0.999
5,1024,SA,4885.4,3.361184E7,10000.0,0.9999
5,1024,SA,4883.0,3.366958E7,10000.0,0.99999
5,1024,SA,4943.2,3.320416E7,100000.0,0.9
5,1024,SA,4898.8,3.343442E7,100000.0,0.99
5,1024,SA,4875.6,3.359794E7,100000.0,0.999
5,1024,SA,4886.0,3.368536E7,100000.0,0.9999
5,1024,SA,4879.2,3.335386E7,100000.0,0.99999
5,2048,SA,4947.8,6.771396E7,0.1,0.9
5,2048,SA,4946.8,6.623438E7,0.1,0.99
5,2048,SA,4946.2,6.580318E7,0.1,0.999
5,2048,SA,4945.8,6.560296E7,0.1,0.9999
5,2048,SA,4945.8,6.594588E7,0.1,0.99999
5,2048,SA,4946.4,6.631968E7,1.0,0.9
